"activity" "subject" "mean"
"51" "WALKING_UPSTAIRS" "21" 0.28260885
"52" "WALKING_UPSTAIRS" "22" 0.28528539
"53" "WALKING_UPSTAIRS" "23" 0.28900773
"54" "WALKING_UPSTAIRS" "24" 0.2650999
"55" "WALKING_UPSTAIRS" "25" 0.29644415
"56" "WALKING_UPSTAIRS" "26" 0.30756021
"57" "WALKING_UPSTAIRS" "27" 0.32221519
"58" "WALKING_UPSTAIRS" "28" 0.34030433
"59" "WALKING_UPSTAIRS" "29" 0.36403235
"60" "WALKING_UPSTAIRS" "30" 0.40884091
"61" "WALKING_DOWNSTAIRS" "1" 0.26925111
"62" "WALKING_DOWNSTAIRS" "2" 0.091124312
"63" "WALKING_DOWNSTAIRS" "3" 0.27174631
"64" "WALKING_DOWNSTAIRS" "4" 0.16867959
"65" "WALKING_DOWNSTAIRS" "5" 0.27357887
"66" "WALKING_DOWNSTAIRS" "6" 0.27466707
"67" "WALKING_DOWNSTAIRS" "7" 0.27552365
"68" "WALKING_DOWNSTAIRS" "8" 0.27619895
"69" "WALKING_DOWNSTAIRS" "9" 0.19808155
"70" "WALKING_DOWNSTAIRS" "10" 0.21372366
"71" "WALKING_DOWNSTAIRS" "11" 0.276787
"72" "WALKING_DOWNSTAIRS" "12" 0.22785735
"73" "WALKING_DOWNSTAIRS" "13" 0.23995826
"74" "WALKING_DOWNSTAIRS" "14" 0.27741748
"75" "WALKING_DOWNSTAIRS" "15" 0.27801422
"76" "WALKING_DOWNSTAIRS" "16" 0.27867136
"77" "WALKING_DOWNSTAIRS" "17" 0.27955543
"78" "WALKING_DOWNSTAIRS" "18" -0.25016092
"79" "WALKING_DOWNSTAIRS" "19" 0.2807251
"80" "WALKING_DOWNSTAIRS" "20" 0.25894465
"81" "WALKING_DOWNSTAIRS" "21" 0.28252314
"82" "WALKING_DOWNSTAIRS" "22" 0.28521143
"83" "WALKING_DOWNSTAIRS" "23" 0.28891585
"84" "WALKING_DOWNSTAIRS" "24" 0.26475519
"85" "WALKING_DOWNSTAIRS" "25" 0.2957867
"86" "WALKING_DOWNSTAIRS" "26" 0.30659211
"87" "WALKING_DOWNSTAIRS" "27" 0.32143808
"88" "WALKING_DOWNSTAIRS" "28" 0.34002771
"89" "WALKING_DOWNSTAIRS" "29" 0.36270552
"90" "WALKING_DOWNSTAIRS" "30" 0.4036586
"91" "SITTING" "1" 0.26836646
"92" "SITTING" "2" -0.083287063
"93" "SITTING" "3" 0.27114386
"94" "SITTING" "4" 0.15618659
"95" "SITTING" "5" 0.27312178
"96" "SITTING" "6" 0.27438387
"97" "SITTING" "7" 0.27535865
"98" "SITTING" "8" 0.27604585
"99" "SITTING" "9" 0.19282696
"100" "SITTING" "10" 0.20953394
"101" "SITTING" "11" 0.27662001
"102" "SITTING" "12" 0.22442754
"103" "SITTING" "13" 0.23704558
"104" "SITTING" "14" 0.27727055
"105" "SITTING" "15" 0.2778551
"106" "SITTING" "16" 0.27850294
"107" "SITTING" "17" 0.27931286
"108" "SITTING" "18" 0.24739612
"109" "SITTING" "19" 0.28033541
"110" "SITTING" "20" 0.25681262
"111" "SITTING" "21" 0.28180621
"112" "SITTING" "22" 0.28430928
"113" "SITTING" "23" 0.28769205
"114" "SITTING" "24" 0.26297221
"115" "SITTING" "25" -0.20629734
"116" "SITTING" "26" 0.30318671
"117" "SITTING" "27" 0.31758001
"118" "SITTING" "28" 0.33398592
"119" "SITTING" "29" 0.35567677
"120" "SITTING" "30" 0.38810399
"121" "STANDING" "1" 0.26812833
"122" "STANDING" "2" -1
"123" "STANDING" "3" 0.27091819
"124" "STANDING" "4" 0.15193168
"125" "STANDING" "5" 0.27300333
"126" "STANDING" "6" 0.27429528
"127" "STANDING" "7" 0.27529224
"128" "STANDING" "8" 0.27599668
"129" "STANDING" "9" 0.19099079
"130" "STANDING" "10" 0.20876832
"131" "STANDING" "11" 0.27656566
"132" "STANDING" "12" 0.22343574
"133" "STANDING" "13" 0.23621532
"134" "STANDING" "14" 0.27719877
"135" "STANDING" "15" 0.2777969
"136" "STANDING" "16" 0.27841883
"137" "STANDING" "17" 0.27921499
"138" "STANDING" "18" 0.24628836
"139" "STANDING" "19" 0.28023702
"140" "STANDING" "20" 0.25607628
"141" "STANDING" "21" 0.2816345
"142" "STANDING" "22" 0.2841553
"143" "STANDING" "23" 0.28725164
"144" "STANDING" "24" 0.26249881
"145" "STANDING" "25" -0.20724333
"146" "STANDING" "26" 0.30217697
"147" "STANDING" "27" 0.31608142
"148" "STANDING" "28" 0.33191637
"149" "STANDING" "29" 0.35326163
"150" "STANDING" "30" 0.38458802
"151" "LAYING" "1" 0.26856146
"152" "LAYING" "2" 0.026059171
"153" "LAYING" "3" 0.27134758
"154" "LAYING" "4" 0.16085356
"155" "LAYING" "5" 0.27325099
"156" "LAYING" "6" 0.2744606
"157" "LAYING" "7" 0.2754119
"158" "LAYING" "8" 0.27609876
"159" "LAYING" "9" 0.19495805
"160" "LAYING" "10" 0.2107571
"161" "LAYING" "11" 0.27667259
"162" "LAYING" "12" 0.2258582
"163" "LAYING" "13" 0.23763448
"164" "LAYING" "14" 0.27730623
"165" "LAYING" "15" 0.27790186
"166" "LAYING" "16" 0.2785596
"167" "LAYING" "17" 0.27939393
"168" "LAYING" "18" 0.24824221
"169" "LAYING" "19" 0.28046557
"170" "LAYING" "20" 0.25771178
"171" "LAYING" "21" 0.28206481
"172" "LAYING" "22" -0.21540599
"173" "LAYING" "23" 0.28818754
"174" "LAYING" "24" 0.26372306
"175" "LAYING" "25" 0.29432278
"176" "LAYING" "26" -0.19526536
"177" "LAYING" "27" 0.31912325
"178" "LAYING" "28" 0.335972
"179" "LAYING" "29" 0.35751025
"180" "LAYING" "30" 0.39303601
